BAY_SEG,MAJOR_BASIN,BASIN,YEAR,MONTH,SOURCE,h2oload (m3/month),tnload (kg/month),tpload (kg/month),BODLOAD (kg/month),tssload (kg/month)
1,Coastal OTB,LTARPON,1992,1,NPS,12379.40594,16.56860408,4.453160926,NA,371.1022406
1,Coastal OTB,LTARPON,1992,2,NPS,436027.4292,506.4416625,156.8492317,NA,13070.96292
1,Coastal OTB,LTARPON,1992,3,NPS,449977.0111,627.5845842,161.8672215,NA,13489.13493
1,Coastal OTB,LTARPON,1992,4,NPS,55977.6264,83.41352418,20.13645727,NA,1678.062961
1,Coastal OTB,LTARPON,1992,5,NPS,0,0,0,NA,0
1,Coastal OTB,LTARPON,1992,6,NPS,0,0,0,NA,0
1,Coastal OTB,LTARPON,1992,7,NPS,0,0,0,NA,0
1,Coastal OTB,LTARPON,1992,8,NPS,5313116.274,7013.69548,1886.23828,NA,164337.081
1,Coastal OTB,LTARPON,1992,9,NPS,7543617.323,9821.561764,2678.100579,NA,233327.4837
1,Coastal OTB,LTARPON,1992,10,NPS,23018521.7,30157.13367,8171.930474,NA,711973.2507
1,Coastal OTB,LTARPON,1992,11,NPS,1079441.014,1272.846099,388.3000984,NA,32358.82084
1,Coastal OTB,LTARPON,1992,12,NPS,2351823.226,3092.392544,846.0056441,NA,70501.51462
1,Coastal OTB,LTARPON,1993,1,NPS,4091825.501,4843.556351,1471.925029,NA,122662.2359
1,Coastal OTB,LTARPON,1993,2,NPS,1797474.662,2247.544298,646.5935417,NA,53883.59327
1,Coastal OTB,LTARPON,1993,3,NPS,4274685.641,5921.806714,1537.704084,NA,128143.9051
1,Coastal OTB,LTARPON,1993,4,NPS,2507515.048,3325.346573,902.0116222,NA,75168.74859
1,Coastal OTB,LTARPON,1993,5,NPS,25550.51806,33.94192318,9.191117027,NA,765.937764
1,Coastal OTB,LTARPON,1993,6,NPS,0,0,0,NA,0
1,Coastal OTB,LTARPON,1993,7,NPS,0,0,0,NA,0
1,Coastal OTB,LTARPON,1993,8,NPS,26510.16194,40.39052031,9.411516648,NA,819.9712568
1,Coastal OTB,LTARPON,1993,9,NPS,956478.6456,1311.820597,339.5646816,NA,29584.31559
1,Coastal OTB,LTARPON,1993,10,NPS,8058945.282,10475.17044,2861.049958,NA,249266.8097
1,Coastal OTB,LTARPON,1993,11,NPS,4699195.303,7142.557497,1690.410106,NA,140869.5954
