Requested report - WIN WAVES
ORGANIZATION ID = 21FLPDEMWBID = 1558F | 1558G | 1558H | 1558I | 1558IAACTIVITY START DATE TIME =  FROM:  01/01/2015 TO:  DEP ANALYTE GROUP = BiologicalDEP ANALYTE NAME - UNIT = Chlorophyll a- uncorrected - ug/L | Chlorophyll a- corrected - ug/L
Report Run on JUNE 13, 2025The data you are accessing are from the WIN Warehouse.  The WIN Warehouse is refreshed on a weekly basis with new data that are submitted to WIN.  The refresh process occurs on the weekend; data uploaded to WIN through each Friday are available in the WIN Warehouse by the following Monday.  WIN replaces Florida STORET as an active data repository.  Florida STORET data are accessible through STORET Public Access (SPA).The following data met your selection criteria
"Organization ID"|"Monitoring Location ID"|"DEP Latitude"|"DEP Longitude"|"WBID"|"Activity ID"|"Activity Type"|"Activity Start Date Time"|"Matrix"|"Sample Collection Type"|"Sampling Agency Name"|"Activity Depth"|"Activity Depth Unit"|"Activity Top Depth"|"Activity Bottom Depth"|"Activity Depth Top Bottom Unit"|"DEP Result ID"|"DEP Analyte Name"|"DEP Result Value Number"|"DEP Result Value Text"|"DEP Result Unit"|"DEP MDL"|"DEP PQL"|"Value Qualifier"|"Sample Fraction"|"Lab ID"|"Result Comments"|"Audit Censored Decisions"
"21FLPDEM"|"E3-A-20-07"|"27.926749988"|"-82.64112"|"1558H"|"E3A2071024S"|"Sample"|"10/14/2020 10:24:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.23"|"m"|""|""|""|"8010984"|"Chlorophyll a- uncorrected"|"23.3"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E3-A-20-07"|"27.926749988"|"-82.64112"|"1558H"|"E3A2071024S"|"Sample"|"10/14/2020 10:24:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.23"|"m"|""|""|""|"8011693"|"Chlorophyll a- corrected"|"22.2"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-B-20-04"|"27.905709988"|"-82.60667"|"1558G"|"E4B2041115S"|"Sample"|"06/16/2020 11:15:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.2"|"m"|""|""|""|"7489984"|"Chlorophyll a- uncorrected"|"7.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-B-20-04"|"27.905709988"|"-82.60667"|"1558G"|"E4B2041115S"|"Sample"|"06/16/2020 11:15:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.2"|"m"|""|""|""|"7489857"|"Chlorophyll a- corrected"|"7.2"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E3-B-20-07"|"27.914499988"|"-82.66898"|"1558H"|"E3B2070930S"|"Sample"|"10/14/2020 09:30:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.225"|"m"|""|""|""|"8011343"|"Chlorophyll a- corrected"|"13.8"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-A-20-08"|"27.858019988"|"-82.59354"|"1558F"|"E5A2081205S"|"Sample"|"12/09/2020 12:05:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.249"|"m"|""|""|""|"8004125"|"Chlorophyll a- corrected"|"3.3"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E2-C-20-07"|"27.936409988"|"-82.71987"|"1558H"|"E2C2070920S"|"Sample"|"11/23/2020 09:20:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.21"|"m"|""|""|""|"8004630"|"Chlorophyll a- uncorrected"|"5.6"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E5-A-20-07"|"27.855169988"|"-82.57974"|"1558F"|"E5A2071157S"|"Sample"|"10/15/2020 11:57:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.212"|"m"|""|""|""|"8006131"|"Chlorophyll a- uncorrected"|"8.9"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E1-B-20-05"|"27.986989988"|"-82.66528"|"1558I"|"E1B2051130S"|"Sample"|"08/05/2020 11:30:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.207"|"m"|""|""|""|"8011063"|"Chlorophyll a- corrected"|"18.8"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
"21FLPDEM"|"E4-C-20-08"|"27.890719988"|"-82.6352"|"1558G"|"E4C2081029S"|"Sample"|"12/10/2020 10:29:00"|"AQUEOUS-Surface Water"|"Direct Grab"|"PINELLAS COUNTY ENVIRONMENTAL MANAGEMENT"|"0.232"|"m"|""|""|""|"8010408"|"Chlorophyll a- corrected"|"5.8"|""|"ug/L"|"0.5"|"0.5"|""|"Total"|"E54357"|""|""
