"yr","date","Latitude","Longitude","pyro","doy","pyrocat"
2011,2011-04-13,28.02,-82.675,NA,103,NA
2011,2011-04-13,27.972,-82.673,NA,103,NA
2011,2011-04-13,27.98,-82.62,NA,103,NA
2011,2011-04-13,27.942,-82.577,NA,103,NA
2011,2011-04-13,27.957,-82.622,NA,103,NA
2011,2011-04-13,27.942,-82.675,NA,103,NA
2011,2011-05-19,28.02,-82.675,NA,139,NA
2011,2011-05-19,27.972,-82.673,NA,139,NA
2011,2011-05-19,27.98,-82.62,NA,139,NA
2011,2011-05-19,27.942,-82.577,NA,139,NA
2011,2011-05-19,27.957,-82.622,NA,139,NA
2011,2011-05-19,27.942,-82.675,NA,139,NA
2011,2011-06-09,28.02,-82.675,667,160,"No bloom"
2011,2011-06-09,27.972,-82.673,22000,160,"Low"
2011,2011-06-09,27.98,-82.62,2000,160,"No bloom"
2011,2011-06-09,27.942,-82.577,NA,160,NA
2011,2011-06-09,27.957,-82.622,12667,160,"Low"
2011,2011-06-09,27.942,-82.675,667,160,"No bloom"
2011,2011-07-20,28.02,-82.675,58667,201,"Low"
2011,2011-07-20,27.972,-82.673,116333,201,"Medium"
2011,2011-07-20,27.98,-82.62,1271000,201,"High"
2011,2011-07-20,27.942,-82.577,3e+06,201,"High"
2011,2011-07-20,27.957,-82.622,2511326,201,"High"
2011,2011-07-20,27.942,-82.675,1764615,201,"High"
2011,2011-07-20,27.9055,-82.6046,406333,201,"Medium"
2011,2011-07-20,27.9244,-82.5496,670676,201,"Medium"
2011,2011-07-20,27.8454,-82.5714,52333,201,"Low"
2011,2011-07-20,27.7723,-82.5789,2333,201,"No bloom"
2011,2011-08-04,28.02,-82.675,447600,216,"Medium"
2011,2011-08-04,27.972,-82.673,461300,216,"Medium"
2011,2011-08-04,27.98,-82.62,678300,216,"Medium"
2011,2011-08-04,27.942,-82.577,5300,216,"No bloom"
2011,2011-08-04,27.957,-82.622,957000,216,"Medium"
2011,2011-08-04,27.942,-82.675,1202600,216,"High"
2011,2011-08-04,27.9055,-82.6046,322600,216,"Medium"
2011,2011-08-04,27.9244,-82.5496,278600,216,"Medium"
2011,2011-08-04,27.8454,-82.5714,55000,216,"Low"
2011,2011-08-04,27.7723,-82.5789,40300,216,"Low"
2011,2011-08-31,28.02,-82.675,8000,243,"No bloom"
2011,2011-08-31,27.972,-82.673,29667,243,"Low"
2011,2011-08-31,27.98,-82.62,108667,243,"Medium"
2011,2011-08-31,27.942,-82.577,51333,243,"Low"
2011,2011-08-31,27.957,-82.622,78667,243,"Low"
2011,2011-08-31,27.942,-82.675,14333,243,"Low"
2011,2011-08-31,27.9055,-82.6046,4000,243,"No bloom"
2011,2011-08-31,27.9244,-82.5496,60000,243,"Low"
2011,2011-08-31,27.8454,-82.5714,2667,243,"No bloom"
2011,2011-08-31,27.7723,-82.5789,5000,243,"No bloom"
2011,2011-09-14,28.02,-82.675,NA,257,NA
2011,2011-09-14,27.972,-82.673,NA,257,NA
2011,2011-09-14,27.98,-82.62,NA,257,NA
2011,2011-09-14,27.942,-82.577,NA,257,NA
2011,2011-09-14,27.957,-82.622,NA,257,NA
2011,2011-09-14,27.942,-82.675,NA,257,NA
2011,2011-09-14,27.9055,-82.6046,NA,257,NA
2011,2011-09-14,27.9244,-82.5496,NA,257,NA
2011,2011-09-14,27.8454,-82.5714,NA,257,NA
2011,2011-09-14,27.7723,-82.5789,NA,257,NA
2011,2011-10-26,28.02,-82.675,NA,299,NA
2011,2011-10-26,27.972,-82.673,NA,299,NA
2011,2011-10-26,27.98,-82.62,NA,299,NA
2011,2011-10-26,27.942,-82.577,NA,299,NA
2011,2011-10-26,27.957,-82.622,NA,299,NA
2011,2011-10-26,27.942,-82.675,NA,299,NA
2011,2011-10-26,27.9055,-82.6046,NA,299,NA
2011,2011-10-26,27.9244,-82.5496,NA,299,NA
2011,2011-10-26,27.8454,-82.5714,333,299,"No bloom"
2011,2011-10-26,27.7723,-82.5789,NA,299,NA
2011,2011-11-21,28.02,-82.675,NA,325,NA
2011,2011-11-21,27.972,-82.673,NA,325,NA
2011,2011-11-21,27.98,-82.62,333,325,"No bloom"
2011,2011-11-21,27.942,-82.577,NA,325,NA
2011,2011-11-21,27.957,-82.622,NA,325,NA
2011,2011-11-21,27.942,-82.675,NA,325,NA
2011,2011-11-21,27.9055,-82.6046,NA,325,NA
2011,2011-11-21,27.9244,-82.5496,NA,325,NA
2011,2011-11-21,27.8454,-82.5714,NA,325,NA
2011,2011-11-21,27.7723,-82.5789,NA,325,NA
2011,2011-12-16,28.02,-82.675,667,350,"No bloom"
2011,2011-12-16,27.972,-82.673,667,350,"No bloom"
2011,2011-12-16,27.98,-82.62,1000,350,"No bloom"
2011,2011-12-16,27.942,-82.577,NA,350,NA
2011,2011-12-16,27.957,-82.622,NA,350,NA
2011,2011-12-16,27.942,-82.675,NA,350,NA
2011,2011-12-16,27.9055,-82.6046,NA,350,NA
2011,2011-12-16,27.9244,-82.5496,NA,350,NA
2011,2011-12-16,27.8454,-82.5714,NA,350,NA
