"var1","rho","pval","sig"
"ccm.ce.chl.Qtarpon.pval.d0",0.951,0.002,"**"
"ccm.ce.chl.Qtarpon.pval.d1",0.952,0.002,"**"
"ccm.ce.chl.Qtarpon.pval.d2",0.938,0.002,"**"
"ccm.ce.chl.Qtarpon.pval.d3",0.947,0.002,"**"
"ccm.ce.chl.Qtarpon.pval.d4",0.97,0.002,"**"
"ccm.ce.chl.Qtarpon.pval.d5",0.967,0.002,"**"
"ccm.ce.chl.Qtarpon.pval.d6",0.945,0.002,"**"
"ccm.ce.chl.Qtarpon.pval.d7",0.939,0.002,"**"
"ccm.cw.chl.Qtarpon.pval.d0",0.997,0.002,"**"
"ccm.cw.chl.Qtarpon.pval.d1",0.998,0.002,"**"
"ccm.cw.chl.Qtarpon.pval.d2",0.997,0.002,"**"
"ccm.cw.chl.Qtarpon.pval.d3",0.997,0.002,"**"
"ccm.cw.chl.Qtarpon.pval.d4",0.998,0.002,"**"
"ccm.cw.chl.Qtarpon.pval.d5",0.997,0.002,"**"
"ccm.cw.chl.Qtarpon.pval.d6",0.996,0.002,"**"
"ccm.cw.chl.Qtarpon.pval.d7",0.998,0.002,"**"
"ccm.ne.chl.Qtarpon.pval.d0",0.943,0.014,"*"
"ccm.ne.chl.Qtarpon.pval.d1",0.935,0.002,"**"
"ccm.ne.chl.Qtarpon.pval.d2",0.937,0.008,"**"
"ccm.ne.chl.Qtarpon.pval.d3",0.942,0.623,""
"ccm.ne.chl.Qtarpon.pval.d4",0.944,0.012,"*"
"ccm.ne.chl.Qtarpon.pval.d5",0.938,0.002,"**"
"ccm.ne.chl.Qtarpon.pval.d6",0.926,0.046,"*"
"ccm.ne.chl.Qtarpon.pval.d7",0.93,0.978,""
"ccm.nw.chl.Qtarpon.pval.d0",0.966,0.002,"**"
"ccm.nw.chl.Qtarpon.pval.d1",0.953,0.002,"**"
"ccm.nw.chl.Qtarpon.pval.d2",0.971,0.002,"**"
"ccm.nw.chl.Qtarpon.pval.d3",0.982,0.002,"**"
"ccm.nw.chl.Qtarpon.pval.d4",0.98,0.002,"**"
"ccm.nw.chl.Qtarpon.pval.d5",0.981,0.002,"**"
"ccm.nw.chl.Qtarpon.pval.d6",0.976,0.002,"**"
"ccm.nw.chl.Qtarpon.pval.d7",0.974,0.002,"**"
"ccm.otb.chl.Qtarpon.pval.d0",0.91,0.098,"."
"ccm.otb.chl.Qtarpon.pval.d1",0.891,0.004,"**"
"ccm.otb.chl.Qtarpon.pval.d2",0.878,0.128,""
"ccm.otb.chl.Qtarpon.pval.d3",0.9,0.954,""
"ccm.otb.chl.Qtarpon.pval.d4",0.936,0.002,"**"
"ccm.otb.chl.Qtarpon.pval.d5",0.917,0.002,"**"
"ccm.otb.chl.Qtarpon.pval.d6",0.873,0.166,""
"ccm.otb.chl.Qtarpon.pval.d7",0.88,1,""
"ccm.se.chl.Qtarpon.pval.d0",0.987,0.002,"**"
"ccm.se.chl.Qtarpon.pval.d1",0.979,0.002,"**"
"ccm.se.chl.Qtarpon.pval.d2",0.976,0.002,"**"
"ccm.se.chl.Qtarpon.pval.d3",0.983,0.002,"**"
"ccm.se.chl.Qtarpon.pval.d4",0.984,0.002,"**"
"ccm.se.chl.Qtarpon.pval.d5",0.986,0.002,"**"
"ccm.se.chl.Qtarpon.pval.d6",0.989,0.002,"**"
"ccm.se.chl.Qtarpon.pval.d7",0.988,0.002,"**"
"ccm.sw.chl.Qtarpon.pval.d0",0.945,0.002,"**"
"ccm.sw.chl.Qtarpon.pval.d1",0.964,0.002,"**"
"ccm.sw.chl.Qtarpon.pval.d2",0.922,0.002,"**"
"ccm.sw.chl.Qtarpon.pval.d3",0.922,0.002,"**"
"ccm.sw.chl.Qtarpon.pval.d4",0.943,0.002,"**"
"ccm.sw.chl.Qtarpon.pval.d5",0.964,0.002,"**"
"ccm.sw.chl.Qtarpon.pval.d6",0.929,0.002,"**"
"ccm.sw.chl.Qtarpon.pval.d7",0.865,0.403,""
