"var1","rho","pval","sig"
"ccm.ce.chl.TP.pval.d0",0.933,0.002,"**"
"ccm.ce.chl.TP.pval.d1",0.934,0.002,"**"
"ccm.ce.chl.TP.pval.d2",0.935,0.002,"**"
"ccm.ce.chl.TP.pval.d3",0.933,0.002,"**"
"ccm.ce.chl.TP.pval.d4",0.952,0.002,"**"
"ccm.ce.chl.TP.pval.d5",0.947,0.002,"**"
"ccm.ce.chl.TP.pval.d6",0.925,0.002,"**"
"ccm.ce.chl.TP.pval.d7",0.933,0.002,"**"
"ccm.cw.chl.TP.pval.d0",0.985,0.002,"**"
"ccm.cw.chl.TP.pval.d1",0.986,0.002,"**"
"ccm.cw.chl.TP.pval.d2",0.985,0.002,"**"
"ccm.cw.chl.TP.pval.d3",0.984,0.002,"**"
"ccm.cw.chl.TP.pval.d4",0.986,0.002,"**"
"ccm.cw.chl.TP.pval.d5",0.985,0.002,"**"
"ccm.cw.chl.TP.pval.d6",0.983,0.002,"**"
"ccm.cw.chl.TP.pval.d7",0.987,0.002,"**"
"ccm.ne.chl.TP.pval.d0",0.888,0.108,""
"ccm.ne.chl.TP.pval.d1",0.884,0.004,"**"
"ccm.ne.chl.TP.pval.d2",0.892,0.004,"**"
"ccm.ne.chl.TP.pval.d3",0.88,0.778,""
"ccm.ne.chl.TP.pval.d4",0.893,0.014,"*"
"ccm.ne.chl.TP.pval.d5",0.887,0.004,"**"
"ccm.ne.chl.TP.pval.d6",0.876,0.02,"*"
"ccm.ne.chl.TP.pval.d7",0.865,0.988,""
"ccm.nw.chl.TP.pval.d0",0.915,0.002,"**"
"ccm.nw.chl.TP.pval.d1",0.909,0.002,"**"
"ccm.nw.chl.TP.pval.d2",0.936,0.002,"**"
"ccm.nw.chl.TP.pval.d3",0.933,0.002,"**"
"ccm.nw.chl.TP.pval.d4",0.935,0.002,"**"
"ccm.nw.chl.TP.pval.d5",0.937,0.002,"**"
"ccm.nw.chl.TP.pval.d6",0.935,0.002,"**"
"ccm.nw.chl.TP.pval.d7",0.938,0.002,"**"
"ccm.otb.chl.TP.pval.d0",0.863,0.092,"."
"ccm.otb.chl.TP.pval.d1",0.848,0.004,"**"
"ccm.otb.chl.TP.pval.d2",0.845,0.006,"**"
"ccm.otb.chl.TP.pval.d3",0.813,0.992,""
"ccm.otb.chl.TP.pval.d4",0.86,0.104,""
"ccm.otb.chl.TP.pval.d5",0.865,0.002,"**"
"ccm.otb.chl.TP.pval.d6",0.847,0.004,"**"
"ccm.otb.chl.TP.pval.d7",0.851,0.531,""
"ccm.se.chl.TP.pval.d0",0.967,0.002,"**"
"ccm.se.chl.TP.pval.d1",0.959,0.002,"**"
"ccm.se.chl.TP.pval.d2",0.955,0.002,"**"
"ccm.se.chl.TP.pval.d3",0.971,0.002,"**"
"ccm.se.chl.TP.pval.d4",0.976,0.002,"**"
"ccm.se.chl.TP.pval.d5",0.976,0.002,"**"
"ccm.se.chl.TP.pval.d6",0.96,0.002,"**"
"ccm.se.chl.TP.pval.d7",0.947,0.002,"**"
"ccm.sw.chl.TP.pval.d0",0.858,0.597,""
"ccm.sw.chl.TP.pval.d1",0.908,0.002,"**"
"ccm.sw.chl.TP.pval.d2",0.886,0.002,"**"
"ccm.sw.chl.TP.pval.d3",0.869,0.002,"**"
"ccm.sw.chl.TP.pval.d4",0.872,0.238,""
"ccm.sw.chl.TP.pval.d5",0.908,0.002,"**"
"ccm.sw.chl.TP.pval.d6",0.896,0.002,"**"
"ccm.sw.chl.TP.pval.d7",0.861,0.006,"**"
