"var1","rho","pval","sig"
"ccm.ce.chl.sal.pval.d0",0.413,0.234,""
"ccm.ce.chl.sal.pval.d1",0.402,0.745,""
"ccm.ce.chl.sal.pval.d2",0.411,0.898,""
"ccm.ce.chl.sal.pval.d3",0.427,0.469,""
"ccm.ce.chl.sal.pval.d4",0.429,0.299,""
"ccm.ce.chl.sal.pval.d5",0.412,0.886,""
"ccm.ce.chl.sal.pval.d6",0.404,0.978,""
"ccm.ce.chl.sal.pval.d7",0.393,0.842,""
"ccm.cw.chl.sal.pval.d0",0.664,0.002,"**"
"ccm.cw.chl.sal.pval.d1",0.662,0.002,"**"
"ccm.cw.chl.sal.pval.d2",0.665,0.002,"**"
"ccm.cw.chl.sal.pval.d3",0.668,0.002,"**"
"ccm.cw.chl.sal.pval.d4",0.677,0.002,"**"
"ccm.cw.chl.sal.pval.d5",0.679,0.002,"**"
"ccm.cw.chl.sal.pval.d6",0.679,0.002,"**"
"ccm.cw.chl.sal.pval.d7",0.684,0.002,"**"
"ccm.ne.chl.sal.pval.d0",0.437,0.455,""
"ccm.ne.chl.sal.pval.d1",0.437,0.778,""
"ccm.ne.chl.sal.pval.d2",0.439,0.858,""
"ccm.ne.chl.sal.pval.d3",0.446,0.659,""
"ccm.ne.chl.sal.pval.d4",0.451,0.617,""
"ccm.ne.chl.sal.pval.d5",0.44,0.924,""
"ccm.ne.chl.sal.pval.d6",0.427,0.98,""
"ccm.ne.chl.sal.pval.d7",0.409,0.952,""
"ccm.nw.chl.sal.pval.d0",0.447,0.242,""
"ccm.nw.chl.sal.pval.d1",0.453,0.551,""
"ccm.nw.chl.sal.pval.d2",0.456,0.675,""
"ccm.nw.chl.sal.pval.d3",0.463,0.323,""
"ccm.nw.chl.sal.pval.d4",0.473,0.277,""
"ccm.nw.chl.sal.pval.d5",0.472,0.693,""
"ccm.nw.chl.sal.pval.d6",0.461,0.846,""
"ccm.nw.chl.sal.pval.d7",0.455,0.519,""
"ccm.otb.chl.sal.pval.d0",0.467,0.084,"."
"ccm.otb.chl.sal.pval.d1",0.451,0.465,""
"ccm.otb.chl.sal.pval.d2",0.476,0.457,""
"ccm.otb.chl.sal.pval.d3",0.506,0.092,"."
"ccm.otb.chl.sal.pval.d4",0.518,0.032,"*"
"ccm.otb.chl.sal.pval.d5",0.509,0.206,""
"ccm.otb.chl.sal.pval.d6",0.483,0.643,""
"ccm.otb.chl.sal.pval.d7",0.449,0.573,""
"ccm.se.chl.sal.pval.d0",0.687,0.002,"**"
"ccm.se.chl.sal.pval.d1",0.681,0.002,"**"
"ccm.se.chl.sal.pval.d2",0.684,0.002,"**"
"ccm.se.chl.sal.pval.d3",0.689,0.002,"**"
"ccm.se.chl.sal.pval.d4",0.686,0.002,"**"
"ccm.se.chl.sal.pval.d5",0.679,0.002,"**"
"ccm.se.chl.sal.pval.d6",0.66,0.002,"**"
"ccm.se.chl.sal.pval.d7",0.649,0.002,"**"
"ccm.sw.chl.sal.pval.d0",0.409,0.224,""
"ccm.sw.chl.sal.pval.d1",0.383,0.609,""
"ccm.sw.chl.sal.pval.d2",0.378,0.984,""
"ccm.sw.chl.sal.pval.d3",0.388,0.932,""
"ccm.sw.chl.sal.pval.d4",0.38,0.643,""
"ccm.sw.chl.sal.pval.d5",0.36,0.934,""
"ccm.sw.chl.sal.pval.d6",0.349,1,""
"ccm.sw.chl.sal.pval.d7",0.367,0.984,""
