"var1","rho","pval","sig"
"ccm.ce.chl.temp.pval.d0",0.99,0.002,"**"
"ccm.ce.chl.temp.pval.d1",0.982,0.002,"**"
"ccm.ce.chl.temp.pval.d2",0.981,0.002,"**"
"ccm.ce.chl.temp.pval.d3",0.986,0.002,"**"
"ccm.ce.chl.temp.pval.d4",0.99,0.002,"**"
"ccm.ce.chl.temp.pval.d5",0.987,0.002,"**"
"ccm.ce.chl.temp.pval.d6",0.982,0.002,"**"
"ccm.ce.chl.temp.pval.d7",0.976,0.002,"**"
"ccm.cw.chl.temp.pval.d0",0.997,0.002,"**"
"ccm.cw.chl.temp.pval.d1",0.996,0.002,"**"
"ccm.cw.chl.temp.pval.d2",0.996,0.002,"**"
"ccm.cw.chl.temp.pval.d3",0.998,0.002,"**"
"ccm.cw.chl.temp.pval.d4",0.999,0.002,"**"
"ccm.cw.chl.temp.pval.d5",0.999,0.002,"**"
"ccm.cw.chl.temp.pval.d6",1,0.002,"**"
"ccm.cw.chl.temp.pval.d7",1,0.002,"**"
"ccm.ne.chl.temp.pval.d0",0.984,0.002,"**"
"ccm.ne.chl.temp.pval.d1",0.979,0.006,"**"
"ccm.ne.chl.temp.pval.d2",0.981,0.028,"*"
"ccm.ne.chl.temp.pval.d3",0.988,0.002,"**"
"ccm.ne.chl.temp.pval.d4",0.99,0.002,"**"
"ccm.ne.chl.temp.pval.d5",0.985,0.002,"**"
"ccm.ne.chl.temp.pval.d6",0.983,0.006,"**"
"ccm.ne.chl.temp.pval.d7",0.984,0.002,"**"
"ccm.nw.chl.temp.pval.d0",0.996,0.002,"**"
"ccm.nw.chl.temp.pval.d1",0.993,0.002,"**"
"ccm.nw.chl.temp.pval.d2",0.991,0.002,"**"
"ccm.nw.chl.temp.pval.d3",0.989,0.002,"**"
"ccm.nw.chl.temp.pval.d4",0.989,0.002,"**"
"ccm.nw.chl.temp.pval.d5",0.992,0.002,"**"
"ccm.nw.chl.temp.pval.d6",0.994,0.002,"**"
"ccm.nw.chl.temp.pval.d7",0.989,0.002,"**"
"ccm.otb.chl.temp.pval.d0",0.967,0.002,"**"
"ccm.otb.chl.temp.pval.d1",0.945,0.216,""
"ccm.otb.chl.temp.pval.d2",0.942,0.854,""
"ccm.otb.chl.temp.pval.d3",0.96,0.034,"*"
"ccm.otb.chl.temp.pval.d4",0.968,0.002,"**"
"ccm.otb.chl.temp.pval.d5",0.965,0.01,"**"
"ccm.otb.chl.temp.pval.d6",0.962,0.102,""
"ccm.otb.chl.temp.pval.d7",0.956,0.086,"."
"ccm.se.chl.temp.pval.d0",0.996,0.002,"**"
"ccm.se.chl.temp.pval.d1",0.995,0.002,"**"
"ccm.se.chl.temp.pval.d2",0.993,0.002,"**"
"ccm.se.chl.temp.pval.d3",0.992,0.002,"**"
"ccm.se.chl.temp.pval.d4",0.991,0.002,"**"
"ccm.se.chl.temp.pval.d5",0.991,0.002,"**"
"ccm.se.chl.temp.pval.d6",0.993,0.002,"**"
"ccm.se.chl.temp.pval.d7",0.995,0.002,"**"
"ccm.sw.chl.temp.pval.d0",0.974,0.002,"**"
"ccm.sw.chl.temp.pval.d1",0.961,0.002,"**"
"ccm.sw.chl.temp.pval.d2",0.953,0.002,"**"
"ccm.sw.chl.temp.pval.d3",0.968,0.002,"**"
"ccm.sw.chl.temp.pval.d4",0.977,0.002,"**"
"ccm.sw.chl.temp.pval.d5",0.958,0.002,"**"
"ccm.sw.chl.temp.pval.d6",0.942,0.056,"."
"ccm.sw.chl.temp.pval.d7",0.954,0.01,"**"
