"var1","rho","pval","sig"
"ccm.ce.chl.TN.pval.d0",0.337,0.978,""
"ccm.ce.chl.TN.pval.d1",0.524,0.074,"."
"ccm.ce.chl.TN.pval.d2",0.367,0.559,""
"ccm.ce.chl.TN.pval.d3",0.282,0.994,""
"ccm.ce.chl.TN.pval.d4",0.45,0.725,""
"ccm.ce.chl.TN.pval.d5",0.543,0.04,"*"
"ccm.ce.chl.TN.pval.d6",0.376,0.551,""
"ccm.ce.chl.TN.pval.d7",0.382,0.826,""
"ccm.cw.chl.TN.pval.d0",0.608,0.01,"**"
"ccm.cw.chl.TN.pval.d1",0.539,0.255,""
"ccm.cw.chl.TN.pval.d2",0.44,0.84,""
"ccm.cw.chl.TN.pval.d3",0.538,0.124,""
"ccm.cw.chl.TN.pval.d4",0.473,0.365,""
"ccm.cw.chl.TN.pval.d5",0.393,0.754,""
"ccm.cw.chl.TN.pval.d6",0.551,0.084,"."
"ccm.cw.chl.TN.pval.d7",0.496,0.571,""
"ccm.ne.chl.TN.pval.d0",0.502,0.479,""
"ccm.ne.chl.TN.pval.d1",0.513,0.134,""
"ccm.ne.chl.TN.pval.d2",0.319,0.866,""
"ccm.ne.chl.TN.pval.d3",0.343,0.988,""
"ccm.ne.chl.TN.pval.d4",0.502,0.509,""
"ccm.ne.chl.TN.pval.d5",0.436,0.433,""
"ccm.ne.chl.TN.pval.d6",0.295,0.902,""
"ccm.ne.chl.TN.pval.d7",0.451,0.764,""
"ccm.nw.chl.TN.pval.d0",0.512,0.483,""
"ccm.nw.chl.TN.pval.d1",0.529,0.038,"*"
"ccm.nw.chl.TN.pval.d2",0.398,0.453,""
"ccm.nw.chl.TN.pval.d3",0.318,1,""
"ccm.nw.chl.TN.pval.d4",0.427,0.906,""
"ccm.nw.chl.TN.pval.d5",0.52,0.058,"."
"ccm.nw.chl.TN.pval.d6",0.408,0.377,""
"ccm.nw.chl.TN.pval.d7",0.497,0.511,""
"ccm.otb.chl.TN.pval.d0",0.559,0.437,""
"ccm.otb.chl.TN.pval.d1",0.56,0.154,""
"ccm.otb.chl.TN.pval.d2",0.408,0.731,""
"ccm.otb.chl.TN.pval.d3",0.391,0.988,""
"ccm.otb.chl.TN.pval.d4",0.547,0.521,""
"ccm.otb.chl.TN.pval.d5",0.542,0.168,""
"ccm.otb.chl.TN.pval.d6",0.441,0.553,""
"ccm.otb.chl.TN.pval.d7",0.458,0.856,""
"ccm.se.chl.TN.pval.d0",0.433,0.633,""
"ccm.se.chl.TN.pval.d1",0.56,0.032,"*"
"ccm.se.chl.TN.pval.d2",0.479,0.659,""
"ccm.se.chl.TN.pval.d3",0.368,0.9,""
"ccm.se.chl.TN.pval.d4",0.572,0.014,"*"
"ccm.se.chl.TN.pval.d5",0.532,0.034,"*"
"ccm.se.chl.TN.pval.d6",0.383,0.545,""
"ccm.se.chl.TN.pval.d7",0.546,0.108,""
"ccm.sw.chl.TN.pval.d0",0.43,0.96,""
"ccm.sw.chl.TN.pval.d1",0.492,0.327,""
"ccm.sw.chl.TN.pval.d2",0.589,0.006,"**"
"ccm.sw.chl.TN.pval.d3",0.372,0.643,""
"ccm.sw.chl.TN.pval.d4",0.498,0.731,""
"ccm.sw.chl.TN.pval.d5",0.466,0.417,""
"ccm.sw.chl.TN.pval.d6",0.545,0.01,"**"
"ccm.sw.chl.TN.pval.d7",0.314,0.816,""
