"var1","rho","pval","sig"
"ccm.ce.chl.TN.pval.d0",0.973,0.002,"**"
"ccm.ce.chl.TN.pval.d1",0.973,0.002,"**"
"ccm.ce.chl.TN.pval.d2",0.963,0.002,"**"
"ccm.ce.chl.TN.pval.d3",0.965,0.006,"**"
"ccm.ce.chl.TN.pval.d4",0.976,0.002,"**"
"ccm.ce.chl.TN.pval.d5",0.972,0.002,"**"
"ccm.ce.chl.TN.pval.d6",0.957,0.002,"**"
"ccm.ce.chl.TN.pval.d7",0.96,0.018,"*"
"ccm.cw.chl.TN.pval.d0",0.996,0.002,"**"
"ccm.cw.chl.TN.pval.d1",0.995,0.002,"**"
"ccm.cw.chl.TN.pval.d2",0.995,0.002,"**"
"ccm.cw.chl.TN.pval.d3",0.996,0.002,"**"
"ccm.cw.chl.TN.pval.d4",0.996,0.002,"**"
"ccm.cw.chl.TN.pval.d5",0.996,0.002,"**"
"ccm.cw.chl.TN.pval.d6",0.996,0.002,"**"
"ccm.cw.chl.TN.pval.d7",0.996,0.002,"**"
"ccm.ne.chl.TN.pval.d0",0.959,0.359,""
"ccm.ne.chl.TN.pval.d1",0.953,0.064,"."
"ccm.ne.chl.TN.pval.d2",0.944,0.275,""
"ccm.ne.chl.TN.pval.d3",0.936,1,""
"ccm.ne.chl.TN.pval.d4",0.962,0.253,""
"ccm.ne.chl.TN.pval.d5",0.937,0.226,""
"ccm.ne.chl.TN.pval.d6",0.936,0.361,""
"ccm.ne.chl.TN.pval.d7",0.936,1,""
"ccm.nw.chl.TN.pval.d0",0.974,0.086,"."
"ccm.nw.chl.TN.pval.d1",0.951,0.395,""
"ccm.nw.chl.TN.pval.d2",0.978,0.024,"*"
"ccm.nw.chl.TN.pval.d3",0.982,0.014,"*"
"ccm.nw.chl.TN.pval.d4",0.982,0.002,"**"
"ccm.nw.chl.TN.pval.d5",0.98,0.004,"**"
"ccm.nw.chl.TN.pval.d6",0.979,0.008,"**"
"ccm.nw.chl.TN.pval.d7",0.977,0.122,""
"ccm.otb.chl.TN.pval.d0",0.958,0.042,"*"
"ccm.otb.chl.TN.pval.d1",0.952,0.004,"**"
"ccm.otb.chl.TN.pval.d2",0.955,0.006,"**"
"ccm.otb.chl.TN.pval.d3",0.954,0.453,""
"ccm.otb.chl.TN.pval.d4",0.967,0.006,"**"
"ccm.otb.chl.TN.pval.d5",0.959,0.004,"**"
"ccm.otb.chl.TN.pval.d6",0.943,0.038,"*"
"ccm.otb.chl.TN.pval.d7",0.907,0.996,""
"ccm.se.chl.TN.pval.d0",0.987,0.002,"**"
"ccm.se.chl.TN.pval.d1",0.975,0.018,"*"
"ccm.se.chl.TN.pval.d2",0.962,0.645,""
"ccm.se.chl.TN.pval.d3",0.988,0.002,"**"
"ccm.se.chl.TN.pval.d4",0.993,0.002,"**"
"ccm.se.chl.TN.pval.d5",0.992,0.002,"**"
"ccm.se.chl.TN.pval.d6",0.991,0.002,"**"
"ccm.se.chl.TN.pval.d7",0.994,0.002,"**"
"ccm.sw.chl.TN.pval.d0",0.957,0.244,""
"ccm.sw.chl.TN.pval.d1",0.966,0.002,"**"
"ccm.sw.chl.TN.pval.d2",0.952,0.002,"**"
"ccm.sw.chl.TN.pval.d3",0.957,0.008,"**"
"ccm.sw.chl.TN.pval.d4",0.973,0.004,"**"
"ccm.sw.chl.TN.pval.d5",0.973,0.002,"**"
"ccm.sw.chl.TN.pval.d6",0.953,0.002,"**"
"ccm.sw.chl.TN.pval.d7",0.914,0.405,""
