"var1","rho","pval","sig"
"ccm.chl.ce.cw.pval.d0",0.985,0.002,"**"
"ccm.chl.ce.cw.pval.d1",0.984,0.002,"**"
"ccm.chl.ce.cw.pval.d2",0.981,0.002,"**"
"ccm.chl.ce.cw.pval.d3",0.985,0.002,"**"
"ccm.chl.ce.cw.pval.d4",0.994,0.002,"**"
"ccm.chl.ce.cw.pval.d5",0.995,0.002,"**"
"ccm.chl.ce.cw.pval.d6",0.988,0.002,"**"
"ccm.chl.ce.cw.pval.d7",0.982,0.002,"**"
"ccm.chl.ce.ne.pval.d0",0.956,0.002,"**"
"ccm.chl.ce.ne.pval.d1",0.955,0.002,"**"
"ccm.chl.ce.ne.pval.d2",0.952,0.002,"**"
"ccm.chl.ce.ne.pval.d3",0.959,0.002,"**"
"ccm.chl.ce.ne.pval.d4",0.968,0.002,"**"
"ccm.chl.ce.ne.pval.d5",0.962,0.002,"**"
"ccm.chl.ce.ne.pval.d6",0.951,0.002,"**"
"ccm.chl.ce.ne.pval.d7",0.95,0.002,"**"
"ccm.chl.ce.nw.pval.d0",0.992,0.002,"**"
"ccm.chl.ce.nw.pval.d1",0.989,0.002,"**"
"ccm.chl.ce.nw.pval.d2",0.983,0.002,"**"
"ccm.chl.ce.nw.pval.d3",0.988,0.002,"**"
"ccm.chl.ce.nw.pval.d4",0.995,0.002,"**"
"ccm.chl.ce.nw.pval.d5",0.99,0.002,"**"
"ccm.chl.ce.nw.pval.d6",0.982,0.002,"**"
"ccm.chl.ce.nw.pval.d7",0.985,0.002,"**"
"ccm.chl.ce.se.pval.d0",0.942,0.002,"**"
"ccm.chl.ce.se.pval.d1",0.932,0.002,"**"
"ccm.chl.ce.se.pval.d2",0.932,0.002,"**"
"ccm.chl.ce.se.pval.d3",0.942,0.002,"**"
"ccm.chl.ce.se.pval.d4",0.946,0.002,"**"
"ccm.chl.ce.se.pval.d5",0.94,0.002,"**"
"ccm.chl.ce.se.pval.d6",0.931,0.002,"**"
"ccm.chl.ce.se.pval.d7",0.93,0.002,"**"
"ccm.chl.ce.sw.pval.d0",0.973,0.002,"**"
"ccm.chl.ce.sw.pval.d1",0.963,0.002,"**"
"ccm.chl.ce.sw.pval.d2",0.959,0.002,"**"
