"var1","rho","pval","sig"
"ccm.ce.chl.pyro.pval.d0",0.937,0.004,"**"
"ccm.ce.chl.pyro.pval.d1",0.929,0.008,"**"
"ccm.ce.chl.pyro.pval.d2",0.939,0.004,"**"
"ccm.ce.chl.pyro.pval.d3",0.944,0.002,"**"
"ccm.ce.chl.pyro.pval.d4",0.932,0.03,"*"
"ccm.ce.chl.pyro.pval.d5",0.925,0.022,"*"
"ccm.ce.chl.pyro.pval.d6",0.932,0.006,"**"
"ccm.ce.chl.pyro.pval.d7",0.932,0.02,"*"
"ccm.cw.chl.pyro.pval.d0",0.959,0.002,"**"
"ccm.cw.chl.pyro.pval.d1",0.96,0.002,"**"
"ccm.cw.chl.pyro.pval.d2",0.958,0.002,"**"
"ccm.cw.chl.pyro.pval.d3",0.958,0.002,"**"
"ccm.cw.chl.pyro.pval.d4",0.957,0.002,"**"
"ccm.cw.chl.pyro.pval.d5",0.956,0.002,"**"
"ccm.cw.chl.pyro.pval.d6",0.956,0.002,"**"
"ccm.cw.chl.pyro.pval.d7",0.957,0.002,"**"
"ccm.ne.chl.pyro.pval.d0",0.895,0.992,""
"ccm.ne.chl.pyro.pval.d1",0.899,0.487,""
"ccm.ne.chl.pyro.pval.d2",0.882,0.529,""
"ccm.ne.chl.pyro.pval.d3",0.868,1,""
"ccm.ne.chl.pyro.pval.d4",0.883,0.996,""
"ccm.ne.chl.pyro.pval.d5",0.894,0.489,""
"ccm.ne.chl.pyro.pval.d6",0.861,0.8,""
"ccm.ne.chl.pyro.pval.d7",0.838,1,""
"ccm.nw.chl.pyro.pval.d0",0.963,0.661,""
"ccm.nw.chl.pyro.pval.d1",0.962,0.625,""
"ccm.nw.chl.pyro.pval.d2",0.957,0.796,""
"ccm.nw.chl.pyro.pval.d3",0.954,0.91,""
"ccm.nw.chl.pyro.pval.d4",0.955,0.9,""
"ccm.nw.chl.pyro.pval.d5",0.96,0.705,""
"ccm.nw.chl.pyro.pval.d6",0.964,0.529,""
"ccm.nw.chl.pyro.pval.d7",0.964,0.511,""
"ccm.otb.chl.pyro.pval.d0",0.975,0.008,"**"
"ccm.otb.chl.pyro.pval.d1",0.968,0.04,"*"
"ccm.otb.chl.pyro.pval.d2",0.964,0.102,""
"ccm.otb.chl.pyro.pval.d3",0.967,0.044,"*"
"ccm.otb.chl.pyro.pval.d4",0.973,0.004,"**"
"ccm.otb.chl.pyro.pval.d5",0.978,0.002,"**"
"ccm.otb.chl.pyro.pval.d6",0.978,0.002,"**"
"ccm.otb.chl.pyro.pval.d7",0.974,0.006,"**"
"ccm.se.chl.pyro.pval.d0",0.978,0.002,"**"
"ccm.se.chl.pyro.pval.d1",0.974,0.002,"**"
"ccm.se.chl.pyro.pval.d2",0.958,0.002,"**"
"ccm.se.chl.pyro.pval.d3",0.976,0.002,"**"
"ccm.se.chl.pyro.pval.d4",0.982,0.002,"**"
"ccm.se.chl.pyro.pval.d5",0.976,0.002,"**"
"ccm.se.chl.pyro.pval.d6",0.984,0.002,"**"
"ccm.se.chl.pyro.pval.d7",0.989,0.002,"**"
"ccm.sw.chl.pyro.pval.d0",0.865,0.998,""
"ccm.sw.chl.pyro.pval.d1",0.907,0.174,""
"ccm.sw.chl.pyro.pval.d2",0.904,0.022,"*"
"ccm.sw.chl.pyro.pval.d3",0.889,0.238,""
"ccm.sw.chl.pyro.pval.d4",0.904,0.778,""
"ccm.sw.chl.pyro.pval.d5",0.923,0.018,"*"
"ccm.sw.chl.pyro.pval.d6",0.905,0.022,"*"
"ccm.sw.chl.pyro.pval.d7",0.854,0.583,""
