"var1","rho","pval","sig"
"ccm.ce.pyro.Qtarpon.pval.d0",0.909,0.964,""
"ccm.ce.pyro.Qtarpon.pval.d1",0.901,0.996,""
"ccm.ce.pyro.Qtarpon.pval.d2",0.921,0.747,""
"ccm.ce.pyro.Qtarpon.pval.d3",0.932,0.327,""
"ccm.ce.pyro.Qtarpon.pval.d4",0.924,0.537,""
"ccm.ce.pyro.Qtarpon.pval.d5",0.913,0.856,""
"ccm.ce.pyro.Qtarpon.pval.d6",0.916,0.902,""
"ccm.ce.pyro.Qtarpon.pval.d7",0.925,0.621,""
"ccm.cw.pyro.Qtarpon.pval.d0",0.855,1,""
"ccm.cw.pyro.Qtarpon.pval.d1",0.879,1,""
"ccm.cw.pyro.Qtarpon.pval.d2",0.9,0.778,""
"ccm.cw.pyro.Qtarpon.pval.d3",0.904,0.451,""
"ccm.cw.pyro.Qtarpon.pval.d4",0.909,0.391,""
"ccm.cw.pyro.Qtarpon.pval.d5",0.902,0.792,""
"ccm.cw.pyro.Qtarpon.pval.d6",0.907,0.832,""
"ccm.cw.pyro.Qtarpon.pval.d7",0.92,0.208,""
"ccm.ne.pyro.Qtarpon.pval.d0",0.96,0.004,"**"
"ccm.ne.pyro.Qtarpon.pval.d1",0.961,0.012,"*"
"ccm.ne.pyro.Qtarpon.pval.d2",0.959,0.004,"**"
"ccm.ne.pyro.Qtarpon.pval.d3",0.965,0.002,"**"
"ccm.ne.pyro.Qtarpon.pval.d4",0.963,0.002,"**"
"ccm.ne.pyro.Qtarpon.pval.d5",0.96,0.004,"**"
"ccm.ne.pyro.Qtarpon.pval.d6",0.966,0.002,"**"
"ccm.ne.pyro.Qtarpon.pval.d7",0.959,0.002,"**"
"ccm.nw.pyro.Qtarpon.pval.d0",0.956,0.942,""
"ccm.nw.pyro.Qtarpon.pval.d1",0.943,0.994,""
"ccm.nw.pyro.Qtarpon.pval.d2",0.95,0.992,""
"ccm.nw.pyro.Qtarpon.pval.d3",0.963,0.752,""
"ccm.nw.pyro.Qtarpon.pval.d4",0.955,0.942,""
"ccm.nw.pyro.Qtarpon.pval.d5",0.941,0.994,""
"ccm.nw.pyro.Qtarpon.pval.d6",0.951,0.994,""
"ccm.nw.pyro.Qtarpon.pval.d7",0.963,0.812,""
"ccm.otb.pyro.Qtarpon.pval.d0",0.972,0.627,""
"ccm.otb.pyro.Qtarpon.pval.d1",0.973,0.511,""
"ccm.otb.pyro.Qtarpon.pval.d2",0.972,0.657,""
"ccm.otb.pyro.Qtarpon.pval.d3",0.97,0.908,""
"ccm.otb.pyro.Qtarpon.pval.d4",0.968,0.994,""
"ccm.otb.pyro.Qtarpon.pval.d5",0.969,0.992,""
"ccm.otb.pyro.Qtarpon.pval.d6",0.97,0.972,""
"ccm.otb.pyro.Qtarpon.pval.d7",0.971,0.97,""
"ccm.se.pyro.Qtarpon.pval.d0",0.978,0.002,"**"
"ccm.se.pyro.Qtarpon.pval.d1",0.977,0.002,"**"
"ccm.se.pyro.Qtarpon.pval.d2",0.979,0.002,"**"
"ccm.se.pyro.Qtarpon.pval.d3",0.966,0.002,"**"
"ccm.se.pyro.Qtarpon.pval.d4",0.935,0.002,"**"
"ccm.se.pyro.Qtarpon.pval.d5",0.936,0.002,"**"
"ccm.se.pyro.Qtarpon.pval.d6",0.947,0.002,"**"
"ccm.se.pyro.Qtarpon.pval.d7",0.933,0.22,""
"ccm.sw.pyro.Qtarpon.pval.d0",0.907,0.976,""
"ccm.sw.pyro.Qtarpon.pval.d1",0.91,0.998,""
"ccm.sw.pyro.Qtarpon.pval.d2",0.883,0.986,""
"ccm.sw.pyro.Qtarpon.pval.d3",0.889,0.934,""
"ccm.sw.pyro.Qtarpon.pval.d4",0.904,0.701,""
"ccm.sw.pyro.Qtarpon.pval.d5",0.889,0.942,""
"ccm.sw.pyro.Qtarpon.pval.d6",0.888,0.994,""
"ccm.sw.pyro.Qtarpon.pval.d7",0.9,0.87,""
