"var1","rho","pval","sig"
"ccm.pyro.ce.cw.pval.d0",0.977,0.002,"**"
"ccm.pyro.ce.cw.pval.d1",0.959,0.002,"**"
"ccm.pyro.ce.cw.pval.d2",0.961,0.002,"**"
"ccm.pyro.ce.cw.pval.d3",0.977,0.002,"**"
"ccm.pyro.ce.cw.pval.d4",0.958,0.002,"**"
"ccm.pyro.ce.cw.pval.d5",0.959,0.002,"**"
"ccm.pyro.ce.cw.pval.d6",0.975,0.002,"**"
"ccm.pyro.ce.cw.pval.d7",0.931,0.03,"*"
"ccm.pyro.ce.ne.pval.d0",0.972,0.002,"**"
"ccm.pyro.ce.ne.pval.d1",0.944,0.002,"**"
"ccm.pyro.ce.ne.pval.d2",0.953,0.002,"**"
"ccm.pyro.ce.ne.pval.d3",0.984,0.002,"**"
"ccm.pyro.ce.ne.pval.d4",0.953,0.002,"**"
"ccm.pyro.ce.ne.pval.d5",0.939,0.002,"**"
"ccm.pyro.ce.ne.pval.d6",0.973,0.002,"**"
"ccm.pyro.ce.ne.pval.d7",0.95,0.002,"**"
"ccm.pyro.ce.nw.pval.d0",0.989,0.002,"**"
"ccm.pyro.ce.nw.pval.d1",0.993,0.002,"**"
"ccm.pyro.ce.nw.pval.d2",0.992,0.002,"**"
"ccm.pyro.ce.nw.pval.d3",0.992,0.002,"**"
"ccm.pyro.ce.nw.pval.d4",0.99,0.002,"**"
"ccm.pyro.ce.nw.pval.d5",0.99,0.002,"**"
"ccm.pyro.ce.nw.pval.d6",0.985,0.002,"**"
"ccm.pyro.ce.nw.pval.d7",0.964,0.13,""
"ccm.pyro.ce.se.pval.d0",0.95,0.002,"**"
"ccm.pyro.ce.se.pval.d1",0.936,0.002,"**"
"ccm.pyro.ce.se.pval.d2",0.945,0.002,"**"
"ccm.pyro.ce.se.pval.d3",0.942,0.002,"**"
"ccm.pyro.ce.se.pval.d4",0.916,0.016,"*"
"ccm.pyro.ce.se.pval.d5",0.921,0.008,"**"
"ccm.pyro.ce.se.pval.d6",0.951,0.002,"**"
"ccm.pyro.ce.se.pval.d7",0.932,0.004,"**"
"ccm.pyro.ce.sw.pval.d0",0.964,0.002,"**"
"ccm.pyro.ce.sw.pval.d1",0.956,0.002,"**"
"ccm.pyro.ce.sw.pval.d2",0.962,0.002,"**"
"ccm.pyro.ce.sw.pval.d3",0.979,0.002,"**"
"ccm.pyro.ce.sw.pval.d4",0.967,0.002,"**"
"ccm.pyro.ce.sw.pval.d5",0.956,0.002,"**"
"ccm.pyro.ce.sw.pval.d6",0.96,0.002,"**"
"ccm.pyro.ce.sw.pval.d7",0.945,0.01,"**"
"ccm.pyro.cw.ce.pval.d0",0.977,0.002,"**"
"ccm.pyro.cw.ce.pval.d1",0.961,0.002,"**"
"ccm.pyro.cw.ce.pval.d2",0.965,0.002,"**"
"ccm.pyro.cw.ce.pval.d3",0.974,0.002,"**"
"ccm.pyro.cw.ce.pval.d4",0.962,0.002,"**"
"ccm.pyro.cw.ce.pval.d5",0.97,0.002,"**"
"ccm.pyro.cw.ce.pval.d6",0.979,0.002,"**"
"ccm.pyro.cw.ce.pval.d7",0.953,0.002,"**"
"ccm.pyro.cw.ne.pval.d0",0.962,0.002,"**"
"ccm.pyro.cw.ne.pval.d1",0.94,0.002,"**"
"ccm.pyro.cw.ne.pval.d2",0.945,0.002,"**"
"ccm.pyro.cw.ne.pval.d3",0.965,0.002,"**"
"ccm.pyro.cw.ne.pval.d4",0.95,0.002,"**"
"ccm.pyro.cw.ne.pval.d5",0.952,0.002,"**"
"ccm.pyro.cw.ne.pval.d6",0.971,0.002,"**"
"ccm.pyro.cw.ne.pval.d7",0.946,0.002,"**"
"ccm.pyro.cw.nw.pval.d0",0.981,0.002,"**"
"ccm.pyro.cw.nw.pval.d1",0.985,0.002,"**"
"ccm.pyro.cw.nw.pval.d2",0.981,0.002,"**"
"ccm.pyro.cw.nw.pval.d3",0.979,0.002,"**"
"ccm.pyro.cw.nw.pval.d4",0.981,0.002,"**"
"ccm.pyro.cw.nw.pval.d5",0.982,0.002,"**"
"ccm.pyro.cw.nw.pval.d6",0.979,0.002,"**"
"ccm.pyro.cw.nw.pval.d7",0.966,0.028,"*"
"ccm.pyro.cw.se.pval.d0",0.929,0.002,"**"
"ccm.pyro.cw.se.pval.d1",0.928,0.002,"**"
"ccm.pyro.cw.se.pval.d2",0.944,0.002,"**"
"ccm.pyro.cw.se.pval.d3",0.919,0.004,"**"
"ccm.pyro.cw.se.pval.d4",0.895,0.016,"*"
"ccm.pyro.cw.se.pval.d5",0.925,0.002,"**"
"ccm.pyro.cw.se.pval.d6",0.929,0.006,"**"
"ccm.pyro.cw.se.pval.d7",0.925,0.006,"**"
"ccm.pyro.cw.sw.pval.d0",0.959,0.002,"**"
"ccm.pyro.cw.sw.pval.d1",0.957,0.002,"**"
"ccm.pyro.cw.sw.pval.d2",0.961,0.002,"**"
"ccm.pyro.cw.sw.pval.d3",0.974,0.002,"**"
"ccm.pyro.cw.sw.pval.d4",0.969,0.002,"**"
"ccm.pyro.cw.sw.pval.d5",0.966,0.002,"**"
"ccm.pyro.cw.sw.pval.d6",0.967,0.002,"**"
"ccm.pyro.cw.sw.pval.d7",0.949,0.002,"**"
"ccm.pyro.ne.ce.pval.d0",0.98,0.002,"**"
"ccm.pyro.ne.ce.pval.d1",0.963,0.002,"**"
"ccm.pyro.ne.ce.pval.d2",0.969,0.002,"**"
"ccm.pyro.ne.ce.pval.d3",0.981,0.002,"**"
"ccm.pyro.ne.ce.pval.d4",0.963,0.002,"**"
"ccm.pyro.ne.ce.pval.d5",0.964,0.002,"**"
"ccm.pyro.ne.ce.pval.d6",0.979,0.002,"**"
"ccm.pyro.ne.ce.pval.d7",0.954,0.004,"**"
"ccm.pyro.ne.cw.pval.d0",0.971,0.002,"**"
"ccm.pyro.ne.cw.pval.d1",0.954,0.002,"**"
"ccm.pyro.ne.cw.pval.d2",0.958,0.002,"**"
"ccm.pyro.ne.cw.pval.d3",0.971,0.002,"**"
"ccm.pyro.ne.cw.pval.d4",0.955,0.002,"**"
"ccm.pyro.ne.cw.pval.d5",0.959,0.002,"**"
"ccm.pyro.ne.cw.pval.d6",0.968,0.002,"**"
"ccm.pyro.ne.cw.pval.d7",0.94,0.002,"**"
"ccm.pyro.ne.nw.pval.d0",0.98,0.002,"**"
"ccm.pyro.ne.nw.pval.d1",0.98,0.002,"**"
"ccm.pyro.ne.nw.pval.d2",0.981,0.002,"**"
"ccm.pyro.ne.nw.pval.d3",0.983,0.002,"**"
"ccm.pyro.ne.nw.pval.d4",0.981,0.002,"**"
"ccm.pyro.ne.nw.pval.d5",0.981,0.002,"**"
"ccm.pyro.ne.nw.pval.d6",0.98,0.002,"**"
"ccm.pyro.ne.nw.pval.d7",0.969,0.01,"**"
"ccm.pyro.nw.ce.pval.d0",0.96,0.002,"**"
"ccm.pyro.nw.ce.pval.d1",0.953,0.002,"**"
"ccm.pyro.nw.ce.pval.d2",0.961,0.002,"**"
"ccm.pyro.nw.ce.pval.d3",0.965,0.002,"**"
"ccm.pyro.nw.ce.pval.d4",0.967,0.002,"**"
"ccm.pyro.nw.ce.pval.d5",0.965,0.002,"**"
"ccm.pyro.nw.ce.pval.d6",0.957,0.002,"**"
"ccm.pyro.nw.ce.pval.d7",0.962,0.002,"**"
"ccm.pyro.nw.cw.pval.d0",0.946,0.002,"**"
"ccm.pyro.nw.cw.pval.d1",0.937,0.002,"**"
"ccm.pyro.nw.cw.pval.d2",0.951,0.002,"**"
"ccm.pyro.nw.cw.pval.d3",0.957,0.002,"**"
"ccm.pyro.nw.cw.pval.d4",0.953,0.002,"**"
"ccm.pyro.nw.cw.pval.d5",0.953,0.002,"**"
"ccm.pyro.nw.cw.pval.d6",0.948,0.002,"**"
"ccm.pyro.nw.cw.pval.d7",0.949,0.002,"**"
