"var1","rho","pval","sig"
"ccm.ce.pyro.sal.pval.d0",0.817,0.014,"*"
"ccm.ce.pyro.sal.pval.d1",0.794,0.102,""
"ccm.ce.pyro.sal.pval.d2",0.768,0.293,""
"ccm.ce.pyro.sal.pval.d3",0.738,0.577,""
"ccm.ce.pyro.sal.pval.d4",0.71,0.832,""
"ccm.ce.pyro.sal.pval.d5",0.695,0.92,""
"ccm.ce.pyro.sal.pval.d6",0.691,0.806,""
"ccm.ce.pyro.sal.pval.d7",0.697,0.762,""
"ccm.cw.pyro.sal.pval.d0",0.809,0.02,"*"
"ccm.cw.pyro.sal.pval.d1",0.793,0.046,"*"
"ccm.cw.pyro.sal.pval.d2",0.769,0.146,""
"ccm.cw.pyro.sal.pval.d3",0.755,0.293,""
"ccm.cw.pyro.sal.pval.d4",0.745,0.303,""
"ccm.cw.pyro.sal.pval.d5",0.732,0.457,""
"ccm.cw.pyro.sal.pval.d6",0.717,0.421,""
"ccm.cw.pyro.sal.pval.d7",0.707,0.551,""
"ccm.ne.pyro.sal.pval.d0",0.769,0.393,""
"ccm.ne.pyro.sal.pval.d1",0.76,0.277,""
"ccm.ne.pyro.sal.pval.d2",0.753,0.271,""
"ccm.ne.pyro.sal.pval.d3",0.742,0.457,""
"ccm.ne.pyro.sal.pval.d4",0.731,0.573,""
"ccm.ne.pyro.sal.pval.d5",0.734,0.449,""
"ccm.ne.pyro.sal.pval.d6",0.744,0.25,""
"ccm.ne.pyro.sal.pval.d7",0.746,0.224,""
"ccm.nw.pyro.sal.pval.d0",0.859,0.002,"**"
"ccm.nw.pyro.sal.pval.d1",0.852,0.004,"**"
"ccm.nw.pyro.sal.pval.d2",0.835,0.012,"*"
"ccm.nw.pyro.sal.pval.d3",0.809,0.068,"."
"ccm.nw.pyro.sal.pval.d4",0.794,0.114,""
"ccm.nw.pyro.sal.pval.d5",0.793,0.136,""
"ccm.nw.pyro.sal.pval.d6",0.792,0.168,""
"ccm.nw.pyro.sal.pval.d7",0.783,0.212,""
"ccm.otb.pyro.sal.pval.d0",0.861,0.002,"**"
"ccm.otb.pyro.sal.pval.d1",0.856,0.004,"**"
"ccm.otb.pyro.sal.pval.d2",0.848,0.004,"**"
"ccm.otb.pyro.sal.pval.d3",0.84,0.004,"**"
"ccm.otb.pyro.sal.pval.d4",0.833,0.002,"**"
"ccm.otb.pyro.sal.pval.d5",0.833,0.008,"**"
"ccm.otb.pyro.sal.pval.d6",0.836,0.004,"**"
"ccm.otb.pyro.sal.pval.d7",0.838,0.002,"**"
"ccm.se.pyro.sal.pval.d0",0.783,0.016,"*"
"ccm.se.pyro.sal.pval.d1",0.795,0.002,"**"
"ccm.se.pyro.sal.pval.d2",0.793,0.002,"**"
"ccm.se.pyro.sal.pval.d3",0.784,0.006,"**"
"ccm.se.pyro.sal.pval.d4",0.774,0.034,"*"
"ccm.se.pyro.sal.pval.d5",0.772,0.058,"."
"ccm.se.pyro.sal.pval.d6",0.768,0.12,""
"ccm.se.pyro.sal.pval.d7",0.75,0.277,""
"ccm.sw.pyro.sal.pval.d0",0.855,0.002,"**"
"ccm.sw.pyro.sal.pval.d1",0.855,0.002,"**"
"ccm.sw.pyro.sal.pval.d2",0.857,0.002,"**"
"ccm.sw.pyro.sal.pval.d3",0.84,0.002,"**"
"ccm.sw.pyro.sal.pval.d4",0.807,0.008,"**"
"ccm.sw.pyro.sal.pval.d5",0.782,0.094,"."
"ccm.sw.pyro.sal.pval.d6",0.757,0.168,""
"ccm.sw.pyro.sal.pval.d7",0.732,0.341,""
