"var1","rho","pval","sig"
"ccm.ce.pyro.temp.pval.d0",0.976,0.515,""
"ccm.ce.pyro.temp.pval.d1",0.967,0.926,""
"ccm.ce.pyro.temp.pval.d2",0.965,0.834,""
"ccm.ce.pyro.temp.pval.d3",0.972,0.293,""
"ccm.ce.pyro.temp.pval.d4",0.979,0.064,"."
"ccm.ce.pyro.temp.pval.d5",0.98,0.1,"."
"ccm.ce.pyro.temp.pval.d6",0.975,0.637,""
"ccm.ce.pyro.temp.pval.d7",0.968,0.938,""
"ccm.cw.pyro.temp.pval.d0",0.967,0.709,""
"ccm.cw.pyro.temp.pval.d1",0.958,0.94,""
"ccm.cw.pyro.temp.pval.d2",0.958,0.665,""
"ccm.cw.pyro.temp.pval.d3",0.965,0.23,""
"ccm.cw.pyro.temp.pval.d4",0.975,0.044,"*"
"ccm.cw.pyro.temp.pval.d5",0.98,0.028,"*"
"ccm.cw.pyro.temp.pval.d6",0.974,0.285,""
"ccm.cw.pyro.temp.pval.d7",0.963,0.858,""
"ccm.ne.pyro.temp.pval.d0",0.99,0.002,"**"
"ccm.ne.pyro.temp.pval.d1",0.987,0.002,"**"
"ccm.ne.pyro.temp.pval.d2",0.987,0.002,"**"
"ccm.ne.pyro.temp.pval.d3",0.99,0.002,"**"
"ccm.ne.pyro.temp.pval.d4",0.992,0.002,"**"
"ccm.ne.pyro.temp.pval.d5",0.991,0.002,"**"
"ccm.ne.pyro.temp.pval.d6",0.987,0.004,"**"
"ccm.ne.pyro.temp.pval.d7",0.985,0.014,"*"
"ccm.nw.pyro.temp.pval.d0",0.993,0.527,""
"ccm.nw.pyro.temp.pval.d1",0.992,0.764,""
"ccm.nw.pyro.temp.pval.d2",0.989,0.946,""
"ccm.nw.pyro.temp.pval.d3",0.986,0.986,""
"ccm.nw.pyro.temp.pval.d4",0.986,0.986,""
"ccm.nw.pyro.temp.pval.d5",0.99,0.932,""
"ccm.nw.pyro.temp.pval.d6",0.993,0.513,""
"ccm.nw.pyro.temp.pval.d7",0.991,0.816,""
"ccm.otb.pyro.temp.pval.d0",0.996,0.715,""
"ccm.otb.pyro.temp.pval.d1",0.996,0.85,""
"ccm.otb.pyro.temp.pval.d2",0.996,0.878,""
"ccm.otb.pyro.temp.pval.d3",0.996,0.844,""
"ccm.otb.pyro.temp.pval.d4",0.996,0.82,""
"ccm.otb.pyro.temp.pval.d5",0.996,0.878,""
"ccm.otb.pyro.temp.pval.d6",0.995,0.936,""
"ccm.otb.pyro.temp.pval.d7",0.995,0.992,""
"ccm.se.pyro.temp.pval.d0",0.978,0.002,"**"
"ccm.se.pyro.temp.pval.d1",0.988,0.002,"**"
"ccm.se.pyro.temp.pval.d2",0.993,0.002,"**"
"ccm.se.pyro.temp.pval.d3",0.986,0.002,"**"
"ccm.se.pyro.temp.pval.d4",0.969,0.002,"**"
"ccm.se.pyro.temp.pval.d5",0.958,0.002,"**"
"ccm.se.pyro.temp.pval.d6",0.959,0.002,"**"
"ccm.se.pyro.temp.pval.d7",0.973,0.002,"**"
"ccm.sw.pyro.temp.pval.d0",0.967,0.842,""
"ccm.sw.pyro.temp.pval.d1",0.966,0.95,""
"ccm.sw.pyro.temp.pval.d2",0.967,0.631,""
"ccm.sw.pyro.temp.pval.d3",0.968,0.325,""
"ccm.sw.pyro.temp.pval.d4",0.964,0.479,""
"ccm.sw.pyro.temp.pval.d5",0.957,0.932,""
"ccm.sw.pyro.temp.pval.d6",0.954,0.978,""
"ccm.sw.pyro.temp.pval.d7",0.958,0.998,""
