"yr","OTB","NW","NE","CW","CE","SW","SE"
2000,0,1,0,1,0,0,0
2001,1,0,1,1,1,0,0
2002,0,1,0,1,0,0,0
2003,1,1,1,1,1,1,0
2004,1,1,1,1,1,1,0
2005,0,1,1,1,0,0,0
2006,0,0,0,0,0,0,0
2007,0,1,0,1,1,0,0
2008,1,1,1,1,1,0,0
2009,1,1,1,1,1,0,0
2010,0,0,0,0,0,0,0
2011,1,1,1,1,1,1,0
2012,0,0,0,1,0,0,0
2013,1,1,0,1,0,0,0
2014,0,1,0,1,0,0,0
2015,1,1,0,1,1,1,1
2016,1,1,1,1,1,0,0
2017,1,1,0,1,1,1,0
2018,1,1,1,1,0,0,0
2019,1,1,0,1,1,0,0
2020,1,1,1,1,0,0,0
2021,1,1,1,1,1,0,0
2022,0,0,1,1,0,0,0
2023,0,0,0,1,0,0,0
NA,14,18,12,22,12,5,1
