"yr","date","Latitude","Longitude","pyro","doy","pyrocat","subsegment"
2011,2011-04-13,28.02,-82.675,NA,103,NA,"NW"
2011,2011-04-13,27.972,-82.673,NA,103,NA,"NW"
2011,2011-04-13,27.98,-82.62,NA,103,NA,"NE"
2011,2011-04-13,27.942,-82.577,NA,103,NA,"CE"
2011,2011-04-13,27.957,-82.622,NA,103,NA,"CE"
2011,2011-04-13,27.942,-82.675,NA,103,NA,"CW"
2011,2011-05-19,28.02,-82.675,NA,139,NA,"NW"
2011,2011-05-19,27.972,-82.673,NA,139,NA,"NW"
2011,2011-05-19,27.98,-82.62,NA,139,NA,"NE"
2011,2011-05-19,27.942,-82.577,NA,139,NA,"CE"
2011,2011-05-19,27.957,-82.622,NA,139,NA,"CE"
2011,2011-05-19,27.942,-82.675,NA,139,NA,"CW"
2011,2011-06-09,28.02,-82.675,667,160,"No bloom","NW"
2011,2011-06-09,27.972,-82.673,22000,160,"Low","NW"
2011,2011-06-09,27.98,-82.62,2000,160,"No bloom","NE"
2011,2011-06-09,27.942,-82.577,NA,160,NA,"CE"
2011,2011-06-09,27.957,-82.622,12667,160,"Low","CE"
2011,2011-06-09,27.942,-82.675,667,160,"No bloom","CW"
2011,2011-07-20,28.02,-82.675,58667,201,"Low","NW"
2011,2011-07-20,27.972,-82.673,116333,201,"Medium","NW"
2011,2011-07-20,27.98,-82.62,1271000,201,"High","NE"
2011,2011-07-20,27.942,-82.577,3e+06,201,"High","CE"
2011,2011-07-20,27.957,-82.622,2511326,201,"High","CE"
2011,2011-07-20,27.942,-82.675,1764615,201,"High","CW"
2011,2011-07-20,27.9055,-82.6046,406333,201,"Medium","SW"
2011,2011-07-20,27.9244,-82.5496,670676,201,"Medium","SE"
2011,2011-07-20,27.8454,-82.5714,52333,201,"Low","SW"
2011,2011-08-04,28.02,-82.675,447600,216,"Medium","NW"
2011,2011-08-04,27.972,-82.673,461300,216,"Medium","NW"
2011,2011-08-04,27.98,-82.62,678300,216,"Medium","NE"
2011,2011-08-04,27.942,-82.577,5300,216,"No bloom","CE"
2011,2011-08-04,27.957,-82.622,957000,216,"Medium","CE"
2011,2011-08-04,27.942,-82.675,1202600,216,"High","CW"
2011,2011-08-04,27.9055,-82.6046,322600,216,"Medium","SW"
2011,2011-08-04,27.9244,-82.5496,278600,216,"Medium","SE"
2011,2011-08-04,27.8454,-82.5714,55000,216,"Low","SW"
2011,2011-08-31,28.02,-82.675,8000,243,"No bloom","NW"
2011,2011-08-31,27.972,-82.673,29667,243,"Low","NW"
2011,2011-08-31,27.98,-82.62,108667,243,"Medium","NE"
2011,2011-08-31,27.942,-82.577,51333,243,"Low","CE"
2011,2011-08-31,27.957,-82.622,78667,243,"Low","CE"
2011,2011-08-31,27.942,-82.675,14333,243,"Low","CW"
2011,2011-08-31,27.9055,-82.6046,4000,243,"No bloom","SW"
2011,2011-08-31,27.9244,-82.5496,60000,243,"Low","SE"
2011,2011-08-31,27.8454,-82.5714,2667,243,"No bloom","SW"
2011,2011-09-14,28.02,-82.675,NA,257,NA,"NW"
2011,2011-09-14,27.972,-82.673,NA,257,NA,"NW"
2011,2011-09-14,27.98,-82.62,NA,257,NA,"NE"
2011,2011-09-14,27.942,-82.577,NA,257,NA,"CE"
2011,2011-09-14,27.957,-82.622,NA,257,NA,"CE"
2011,2011-09-14,27.942,-82.675,NA,257,NA,"CW"
2011,2011-09-14,27.9055,-82.6046,NA,257,NA,"SW"
2011,2011-09-14,27.9244,-82.5496,NA,257,NA,"SE"
2011,2011-09-14,27.8454,-82.5714,NA,257,NA,"SW"
2011,2011-10-26,28.02,-82.675,NA,299,NA,"NW"
2011,2011-10-26,27.972,-82.673,NA,299,NA,"NW"
2011,2011-10-26,27.98,-82.62,NA,299,NA,"NE"
2011,2011-10-26,27.942,-82.577,NA,299,NA,"CE"
2011,2011-10-26,27.957,-82.622,NA,299,NA,"CE"
2011,2011-10-26,27.942,-82.675,NA,299,NA,"CW"
2011,2011-10-26,27.9055,-82.6046,NA,299,NA,"SW"
2011,2011-10-26,27.9244,-82.5496,NA,299,NA,"SE"
2011,2011-10-26,27.8454,-82.5714,333,299,"No bloom","SW"
2011,2011-11-21,28.02,-82.675,NA,325,NA,"NW"
2011,2011-11-21,27.972,-82.673,NA,325,NA,"NW"
2011,2011-11-21,27.98,-82.62,333,325,"No bloom","NE"
2011,2011-11-21,27.942,-82.577,NA,325,NA,"CE"
2011,2011-11-21,27.957,-82.622,NA,325,NA,"CE"
2011,2011-11-21,27.942,-82.675,NA,325,NA,"CW"
2011,2011-11-21,27.9055,-82.6046,NA,325,NA,"SW"
2011,2011-11-21,27.9244,-82.5496,NA,325,NA,"SE"
2011,2011-11-21,27.8454,-82.5714,NA,325,NA,"SW"
2011,2011-12-16,28.02,-82.675,667,350,"No bloom","NW"
2011,2011-12-16,27.972,-82.673,667,350,"No bloom","NW"
2011,2011-12-16,27.98,-82.62,1000,350,"No bloom","NE"
2011,2011-12-16,27.942,-82.577,NA,350,NA,"CE"
2011,2011-12-16,27.957,-82.622,NA,350,NA,"CE"
2011,2011-12-16,27.942,-82.675,NA,350,NA,"CW"
2011,2011-12-16,27.9055,-82.6046,NA,350,NA,"SW"
2011,2011-12-16,27.9244,-82.5496,NA,350,NA,"SE"
2011,2011-12-16,27.8454,-82.5714,NA,350,NA,"SW"
2012,2012-01-20,28.02,-82.675,NA,20,NA,"NW"
2012,2012-01-20,27.972,-82.673,NA,20,NA,"NW"
2012,2012-01-20,27.98,-82.62,NA,20,NA,"NE"
2012,2012-01-20,27.942,-82.577,NA,20,NA,"CE"
2012,2012-01-20,27.957,-82.622,NA,20,NA,"CE"
2012,2012-01-20,27.942,-82.675,NA,20,NA,"CW"
2012,2012-01-20,27.9055,-82.6046,NA,20,NA,"SW"
2012,2012-01-20,27.9244,-82.5496,NA,20,NA,"SE"
2012,2012-01-20,27.8454,-82.5714,NA,20,NA,"SW"
2012,2012-02-22,28.02,-82.675,NA,53,NA,"NW"
2012,2012-02-22,27.972,-82.673,333,53,"No bloom","NW"
2012,2012-02-22,27.98,-82.62,NA,53,NA,"NE"
2012,2012-02-22,27.942,-82.577,NA,53,NA,"CE"
2012,2012-02-22,27.957,-82.622,NA,53,NA,"CE"
2012,2012-02-22,27.942,-82.675,NA,53,NA,"CW"
2012,2012-02-22,27.9055,-82.6046,NA,53,NA,"SW"
2012,2012-02-22,27.9244,-82.5496,NA,53,NA,"SE"
2012,2012-02-22,27.8454,-82.5714,NA,53,NA,"SW"
2012,2012-03-09,28.02,-82.675,333,69,"No bloom","NW"
2012,2012-03-09,27.972,-82.673,667,69,"No bloom","NW"
2012,2012-03-09,27.98,-82.62,NA,69,NA,"NE"
2012,2012-03-09,27.942,-82.577,NA,69,NA,"CE"
2012,2012-03-09,27.957,-82.622,1000,69,"No bloom","CE"
2012,2012-03-09,27.942,-82.675,667,69,"No bloom","CW"
2012,2012-03-09,27.9055,-82.6046,NA,69,NA,"SW"
2012,2012-03-09,27.9244,-82.5496,NA,69,NA,"SE"
2012,2012-03-09,27.8454,-82.5714,NA,69,NA,"SW"
2012,2012-03-22,28.02,-82.675,NA,82,NA,"NW"
2012,2012-03-22,27.972,-82.673,NA,82,NA,"NW"
2012,2012-03-22,27.98,-82.62,NA,82,NA,"NE"
2012,2012-03-26,27.942,-82.577,NA,86,NA,"CE"
2012,2012-03-26,27.957,-82.622,1000,86,"No bloom","CE"
2012,2012-03-26,27.942,-82.675,333,86,"No bloom","CW"
2012,2012-03-26,27.9055,-82.6046,NA,86,NA,"SW"
2012,2012-03-26,27.9244,-82.5496,NA,86,NA,"SE"
2012,2012-03-26,27.86111,-82.58911,333,86,"No bloom","SW"
2012,2012-04-03,28.02,-82.675,NA,94,NA,"NW"
2012,2012-04-03,27.972,-82.673,NA,94,NA,"NW"
2012,2012-04-03,27.98,-82.62,NA,94,NA,"NE"
2012,2012-04-03,27.942,-82.577,NA,94,NA,"CE"
2012,2012-04-03,27.957,-82.622,333,94,"No bloom","CE"
2012,2012-04-03,27.942,-82.675,NA,94,NA,"CW"
2012,2012-04-03,27.9055,-82.6046,2333,94,"No bloom","SW"
2012,2012-04-03,27.9244,-82.5496,NA,94,NA,"SE"
2012,2012-04-03,27.86111,-82.58911,NA,94,NA,"SW"
2012,2012-04-19,28.02,-82.675,65000,110,"Low","NW"
2012,2012-04-19,27.972,-82.673,14600,110,"Low","NW"
2012,2012-04-19,27.98,-82.62,333,110,"No bloom","NE"
2012,2012-04-19,27.942,-82.577,NA,110,NA,"CE"
